Packet Number,Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,sql,stream,Packet Number,Time(seconds),socket_count
622,0,TCP,192.168.136.132,52496,443,0,46,0,12,287,666,3
623,0,TCP,34.160.144.191,443,52496,708,0,0,12,288,666,3
633,58,TCP,192.168.136.132,60456,443,0,39,0,9,289,666,3
634,0,TCP,34.107.243.93,443,60456,141,0,0,9,290,666,3
635,0,TCP,34.107.243.93,443,60456,0,39,0,9,291,666,3
636,0,TCP,192.168.136.132,60456,443,0,0,0,9,292,666,3
637,58,TCP,192.168.136.132,55728,443,72027,46,0,11,293,666,3
638,0,TCP,34.149.100.209,443,55728,0,0,0,11,294,666,3
639,0,TCP,34.149.100.209,443,55728,0,46,0,11,295,666,3
640,0,TCP,192.168.136.132,55728,443,72027,0,0,11,296,666,3
641,58,TCP,192.168.136.132,52496,443,0,46,0,12,297,666,3
642,0,TCP,34.160.144.191,443,52496,754,0,0,12,298,666,3
643,0,TCP,34.160.144.191,443,52496,0,46,0,12,299,666,3
644,0,TCP,192.168.136.132,52496,443,0,0,0,12,300,666,3
657,58,TCP,192.168.136.132,60456,443,0,39,0,9,301,666,3
658,0,TCP,34.107.243.93,443,60456,141,0,0,9,302,666,3
659,0,TCP,34.107.243.93,443,60456,0,39,0,9,303,666,3
660,0,TCP,192.168.136.132,60456,443,0,0,0,9,304,666,3
661,58,TCP,192.168.136.132,55728,443,0,46,0,11,305,666,3
662,0,TCP,34.149.100.209,443,55728,0,0,0,11,306,666,3
663,0,TCP,34.149.100.209,443,55728,0,46,0,11,307,666,3
664,0,TCP,192.168.136.132,55728,443,72027,0,0,11,308,666,3
665,58,TCP,192.168.136.132,52496,443,0,46,0,12,309,666,3
666,0,TCP,34.160.144.191,443,52496,754,0,0,12,310,666,3
667,0,TCP,34.160.144.191,443,52496,0,46,0,12,311,666,3
668,0,TCP,192.168.136.132,52496,443,0,0,0,12,312,666,3
669,52,TCP,192.168.136.132,60456,443,0,39,0,9,313,666,3
670,0,TCP,34.107.243.93,443,60456,141,0,0,9,314,666,3
671,0,TCP,192.168.136.132,60456,443,0,24,0,9,315,666,3
672,0,TCP,34.107.243.93,443,60456,165,0,0,9,316,666,3
673,0,TCP,192.168.136.132,60456,443,0,0,0,9,317,666,3
674,0,TCP,34.107.243.93,443,60456,166,0,0,9,318,666,3
675,0,TCP,34.107.243.93,443,60456,0,0,0,9,319,666,3
676,0,TCP,192.168.136.132,60456,443,0,0,0,9,320,666,3
677,53,TCP,192.168.136.132,55728,443,0,46,0,11,321,666,3
678,0,TCP,34.149.100.209,443,55728,0,0,0,11,322,666,3
679,0,TCP,192.168.136.132,55728,443,71981,31,0,11,323,666,3
680,0,TCP,34.149.100.209,443,55728,0,0,0,11,324,666,3
681,0,TCP,192.168.136.132,55728,443,71950,0,0,11,325,666,3
682,0,TCP,34.149.100.209,443,55728,0,0,0,11,326,666,3
683,0,TCP,34.149.100.209,443,55728,0,0,0,11,327,666,3
684,0,TCP,192.168.136.132,55728,443,71950,0,0,11,328,666,3
