Packet Number,Time(seconds),socket_count
2346,1963,34
2347,1963,34
2348,1963,34
2349,1963,34
2350,1963,34
2351,1963,34
2352,1963,34
2359,1963,34
2360,1963,34
2361,1963,34
2362,1963,34
2363,1963,34
2364,1963,34
2365,1963,34
2366,1963,34
2367,1963,34
2368,1963,34
2369,1963,34
2370,1963,34
2371,1963,34
2372,1963,34
2373,1963,34
2374,1963,34
2375,1963,34
2376,1963,34
2377,1963,34
2378,1963,34
2379,1963,34
2380,1963,34
2381,1963,34
2382,1963,34
2383,1963,34
2384,1963,34
2385,1963,34
2386,1963,34
2387,1963,34
2388,1963,34
2389,1963,34
2390,1963,34
2391,1963,34
2392,1963,34
2393,1963,34
2394,1963,34
2395,1963,34
2396,1963,34
2397,1963,34
2398,1963,34
2399,1963,34
2400,1963,34
2401,1963,34
2402,1963,34
2403,1963,34
2404,1963,34
2405,1963,34
2406,1963,34
2407,1963,34
2408,1963,34
2409,1963,34
2410,1963,34
2411,1963,34
2412,1963,34
2413,1963,34
2414,1963,34
2415,1963,34
2416,1963,34
2417,1963,34
2418,1963,34
2419,1963,34
2420,1963,34
2421,1963,34
2422,1963,34
2423,1963,34
2424,1963,34
2425,1963,34
2426,1963,34
2427,1963,34
2428,1963,34
2429,1963,34
2430,1963,34
2431,1963,34
2432,1963,34
2433,1963,34
2434,1963,34
2435,1963,34
2436,1963,34
2437,1963,34
2438,1963,34
2439,1963,34
2440,1963,34
2441,1963,34
2442,1963,34
2443,1963,34
2444,1963,34
2445,1963,34
2446,1963,34
2447,1963,34
2448,1963,34
2449,1963,34
2450,1963,34
2451,1963,34
2452,1963,34
2453,1963,34
2454,1963,34
2455,1963,34
2456,1963,34
2457,1963,34
2458,1963,34
2459,1963,34
2460,1963,34
2465,1963,34
2466,1963,34
2467,1963,34
2468,1963,34
2469,1963,34
2470,1963,34
2471,1963,34
2472,1963,34
2473,1963,34
2474,1963,34
2475,1963,34
2476,1963,34
2477,1963,34
2478,1963,34
2479,1963,34
2480,1963,34
2481,1963,34
2482,1963,34
2483,1963,34
2484,1963,34
2485,1963,34
2486,1963,34
2487,1963,34
2488,1963,34
2489,1963,34
2490,1963,34
2491,1963,34
2492,1963,34
2493,1963,34
2494,1963,34
2495,1963,34
2496,1963,34
2497,1963,34
2498,1963,34
2499,1963,34
2500,1963,34
2502,1963,34
2504,1963,34
2506,1963,34
2507,1963,34
2508,1963,34
2509,1963,34
2510,1963,34
2511,1963,34
2512,1963,34
2513,1963,34
2514,1963,34
2515,1963,34
2516,1963,34
2517,1963,34
2518,1963,34
2519,1963,34
2520,1963,34
2521,1963,34
2522,1963,34
2523,1963,34
2524,1963,34
2525,1963,34
2526,1963,34
2527,1963,34
2528,1963,34
2530,1963,35
2537,1963,35
2538,1963,35
2539,1963,35
2540,1963,35
2541,1963,35
2542,1963,35
2543,1963,35
2544,1963,35
2545,1963,35
2546,1963,35
2547,1963,35
2548,1963,35
2549,1963,35
2550,1963,35
2551,1963,35
2552,1963,35
2553,1963,35
2554,1963,35
2555,1963,35
2556,1963,35
2557,1963,35
2558,1963,35
2559,1963,35
2560,1963,35
2561,1963,35
2562,1963,35
2563,1963,35
2564,1963,35
2565,1963,35
2566,1963,35
2567,1963,35
2568,1963,35
2569,1963,35
2570,1963,35
2571,1963,35
2572,1963,35
2573,1963,35
2574,1963,35
2575,1963,35
2576,1963,35
2577,1963,35
2578,1963,35
2579,1963,35
2580,1963,35
2581,1963,35
2582,1963,35
2583,1963,35
2584,1963,35
2585,1963,35
2586,1963,35
2587,1963,35
2588,1963,35
2589,1963,35
2590,1963,35
2597,1964,35
2598,1964,35
2599,1964,35
2600,1964,35
2601,1964,35
2602,1964,35
2603,1964,35
2604,1964,35
2605,1964,35
2606,1964,35
2607,1964,35
2608,1964,35
2609,1964,35
2610,1964,35
2611,1964,35
2612,1964,35
2613,1964,35
2614,1964,35
2615,1964,35
2616,1964,35
2617,1964,35
2618,1964,35
2619,1964,35
2620,1964,35
2621,1964,35
2622,1964,35
2623,1964,35
2624,1964,35
2625,1964,35
2626,1964,35
2627,1964,35
2628,1964,35
2629,1964,35
2630,1964,35
2631,1964,35
2632,1964,35
2633,1964,35
2634,1964,35
2635,1964,35
2636,1964,35
2637,1964,35
