Packet Number,Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,sql,stream,Time(seconds),socket_count
660,0,TCP,117.18.232.200,443,51244,0,255,0,33,,
662,0,TCP,117.18.232.200,443,51244,0,96,0,33,,
665,0,TCP,117.18.232.200,443,51244,385,0,0,33,,
666,0,TCP,117.18.232.200,443,51244,0,31,0,33,,
668,0,TCP,117.18.232.200,443,51244,0,696,0,33,,
671,0,TCP,117.18.232.200,443,51244,108,0,0,33,,
672,0,TCP,117.18.232.200,443,51244,0,217,0,33,,
680,0,TCP,13.107.246.254,443,51245,291,0,0,34,,
681,0,TCP,13.107.246.254,443,51245,0,1410,0,34,,
683,0,TCP,13.107.246.254,443,51245,0,1410,0,34,,
685,0,TCP,13.107.246.254,443,51245,0,1276,0,34,,
687,0,TCP,13.107.246.254,443,51245,0,1410,0,34,,
689,0,TCP,13.107.246.254,443,51245,0,1410,0,34,,
691,0,TCP,13.107.246.254,443,51245,0,193,0,34,,
695,0,TCP,13.107.246.254,443,51245,213,0,0,34,,
696,0,TCP,13.107.246.254,443,51245,0,51,0,34,,
699,0,TCP,13.107.246.254,443,51245,0,78,0,34,,
702,0,TCP,13.107.246.254,443,51245,343,0,0,34,,
703,0,TCP,13.107.246.254,443,51245,0,264,0,34,,
706,0,TCP,13.107.246.254,443,51245,82,264,0,34,,
709,3,TCP,204.79.197.222,443,51242,663,0,0,31,,
710,0,TCP,204.79.197.222,443,51242,0,153,0,31,,
711,0,TCP,204.79.197.222,443,51242,0,38,0,31,,
714,30,TCP,104.18.1.181,443,50884,35,0,0,5,,
720,3,TCP,23.215.215.147,443,51237,1440,0,0,24,,
721,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,
722,0,TCP,23.215.215.147,443,51237,815,0,0,24,,
723,0,TCP,23.215.215.147,443,51237,990,0,0,24,,
724,0,TCP,23.215.215.147,443,51237,31,0,0,24,,
725,0,TCP,23.215.215.147,443,51237,0,340,0,24,,
727,0,TCP,23.215.215.147,443,51237,0,31,0,24,,
735,0,TCP,136.144.57.121,443,51246,296,0,0,35,,
736,0,TCP,136.144.57.121,443,51246,0,1440,0,35,,
737,0,TCP,136.144.57.121,443,51246,0,1440,0,35,,
739,0,TCP,136.144.57.121,443,51246,0,1216,0,35,,
740,0,TCP,136.144.57.121,443,51246,0,805,0,35,,
745,0,TCP,136.144.57.121,443,51246,80,87,0,35,,
746,0,TCP,136.144.57.121,443,51246,0,87,0,35,,
747,0,TCP,136.144.57.121,443,51246,0,62,0,35,,
750,0,TCP,136.144.57.121,443,51246,208,0,0,35,,
751,0,TCP,136.144.57.121,443,51246,0,274,0,35,,
752,0,TCP,136.144.57.121,443,51246,0,467,0,35,,
755,0,TCP,136.144.57.121,443,51246,32,0,0,35,,
