Packet Number,Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,window_size,sql,stream
3973,5,TCP,192.168.136.132,53482,80,482,0,64128,0,23
4245,0,TCP,192.168.136.132,53482,80,1,0,64128,0,23
4524,9,TCP,192.168.136.132,53482,80,0,11,64128,0,23
172,0,TCP,192.168.136.131,80,53486,21,0,65152,0,24
177,0,TCP,192.168.136.131,80,53486,168,0,65024,0,24
2512,0,TCP,192.168.136.131,80,53486,11,0,65024,0,24
3217,15,TCP,192.168.136.131,80,53486,11,0,65024,0,24
3946,5,TCP,192.168.136.131,80,53486,0,482,65024,0,24
3947,0,TCP,192.168.136.131,80,53486,0,0,65024,0,24
4533,9,TCP,192.168.136.131,80,53486,0,0,0,0,24
170,0,TCP,192.168.136.132,53486,80,1,0,64256,0,24
171,0,TCP,192.168.136.132,53486,80,0,21,64256,0,24
175,0,TCP,192.168.136.132,53486,80,0,168,64256,0,24
2504,0,TCP,192.168.136.132,53486,80,0,11,64256,0,24
3216,15,TCP,192.168.136.132,53486,80,0,11,64256,0,24
3964,5,TCP,192.168.136.132,53486,80,482,0,64128,0,24
4247,0,TCP,192.168.136.132,53486,80,1,0,64128,0,24
4525,9,TCP,192.168.136.132,53486,80,0,11,64128,0,24
179,0,TCP,192.168.136.131,80,53500,21,0,65152,0,25
183,0,TCP,192.168.136.131,80,53500,168,0,65024,0,25
2513,0,TCP,192.168.136.131,80,53500,11,0,65024,0,25
3219,15,TCP,192.168.136.131,80,53500,11,0,65024,0,25
4000,5,TCP,192.168.136.131,80,53500,0,482,65024,0,25
4001,0,TCP,192.168.136.131,80,53500,0,0,65024,0,25
4534,9,TCP,192.168.136.131,80,53500,0,0,0,0,25
176,0,TCP,192.168.136.132,53500,80,1,0,64256,0,25
178,0,TCP,192.168.136.132,53500,80,0,21,64256,0,25
182,0,TCP,192.168.136.132,53500,80,0,168,64256,0,25
2505,0,TCP,192.168.136.132,53500,80,0,11,64256,0,25
3218,15,TCP,192.168.136.132,53500,80,0,11,64256,0,25
4035,5,TCP,192.168.136.132,53500,80,482,0,64128,0,25
4283,0,TCP,192.168.136.132,53500,80,1,0,64128,0,25
4526,9,TCP,192.168.136.132,53500,80,0,9,64128,0,25
186,0,TCP,192.168.136.131,80,53504,20,0,65152,0,26
190,0,TCP,192.168.136.131,80,53504,168,0,65024,0,26
2514,0,TCP,192.168.136.131,80,53504,11,0,65024,0,26
3225,15,TCP,192.168.136.131,80,53504,11,0,65024,0,26
3937,5,TCP,192.168.136.131,80,53504,0,482,65024,0,26
3939,0,TCP,192.168.136.131,80,53504,0,0,65024,0,26
4535,9,TCP,192.168.136.131,80,53504,0,0,0,0,26
184,0,TCP,192.168.136.132,53504,80,1,0,64256,0,26
185,0,TCP,192.168.136.132,53504,80,0,20,64256,0,26
189,0,TCP,192.168.136.132,53504,80,0,168,64256,0,26
2506,0,TCP,192.168.136.132,53504,80,0,11,64256,0,26
3220,15,TCP,192.168.136.132,53504,80,0,11,64256,0,26
3960,5,TCP,192.168.136.132,53504,80,482,0,64128,0,26
4251,0,TCP,192.168.136.132,53504,80,1,0,64128,0,26
4527,9,TCP,192.168.136.132,53504,80,0,11,64128,0,26
193,0,TCP,192.168.136.131,80,53510,20,0,65152,0,27
197,0,TCP,192.168.136.131,80,53510,168,0,65024,0,27
2515,0,TCP,192.168.136.131,80,53510,10,0,65024,0,27
3226,15,TCP,192.168.136.131,80,53510,8,0,65024,0,27
3877,5,TCP,192.168.136.131,80,53510,0,482,65024,0,27
3881,0,TCP,192.168.136.131,80,53510,0,0,65024,0,27
4544,9,TCP,192.168.136.131,80,53510,0,0,0,0,27
191,0,TCP,192.168.136.132,53510,80,1,0,64256,0,27
192,0,TCP,192.168.136.132,53510,80,0,20,64256,0,27
196,0,TCP,192.168.136.132,53510,80,0,168,64256,0,27
2507,0,TCP,192.168.136.132,53510,80,0,10,64256,0,27
3221,15,TCP,192.168.136.132,53510,80,0,8,64256,0,27
3887,5,TCP,192.168.136.132,53510,80,482,0,64128,0,27
4225,0,TCP,192.168.136.132,53510,80,1,0,64128,0,27
4536,9,TCP,192.168.136.132,53510,80,0,11,64128,0,27
200,0,TCP,192.168.136.131,80,53522,21,0,65152,0,28
204,0,TCP,192.168.136.131,80,53522,168,0,65024,0,28
2516,0,TCP,192.168.136.131,80,53522,10,0,65024,0,28
3227,15,TCP,192.168.136.131,80,53522,11,0,65024,0,28
3941,5,TCP,192.168.136.131,80,53522,0,482,65024,0,28
3943,0,TCP,192.168.136.131,80,53522,0,0,65024,0,28
4545,9,TCP,192.168.136.131,80,53522,0,0,0,0,28
198,0,TCP,192.168.136.132,53522,80,1,0,64256,0,28
199,0,TCP,192.168.136.132,53522,80,0,21,64256,0,28
203,0,TCP,192.168.136.132,53522,80,0,168,64256,0,28
2508,0,TCP,192.168.136.132,53522,80,0,10,64256,0,28
3222,15,TCP,192.168.136.132,53522,80,0,11,64256,0,28
3962,5,TCP,192.168.136.132,53522,80,482,0,64128,0,28
4250,0,TCP,192.168.136.132,53522,80,1,0,64128,0,28
4537,9,TCP,192.168.136.132,53522,80,0,11,64128,0,28
207,0,TCP,192.168.136.131,80,53536,20,0,65152,0,29
209,0,TCP,192.168.136.131,80,53536,168,0,65024,0,29
2517,0,TCP,192.168.136.131,80,53536,11,0,65024,0,29
