Packet Number,Time(seconds),Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,socket_count,sql,stream
588,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
589,1259,0,TCP,192.168.136.132,55728,443,64847,0,6,0,11
590,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
591,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
592,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
593,1259,0,TCP,192.168.136.132,55728,443,67671,0,6,0,11
594,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
595,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
596,1259,0,TCP,192.168.136.132,55728,443,70495,0,6,0,11
597,1259,0,TCP,34.149.100.209,443,55728,0,166,6,0,11
598,1259,0,TCP,192.168.136.132,55728,443,72073,0,6,0,11
599,1259,0,TCP,192.168.136.132,55728,443,0,46,6,0,11
600,1259,0,TCP,34.149.100.209,443,55728,0,0,6,0,11
637,1317,58,TCP,192.168.136.132,55728,443,72027,46,6,0,11
638,1317,0,TCP,34.149.100.209,443,55728,0,0,6,0,11
639,1317,0,TCP,34.149.100.209,443,55728,0,46,6,0,11
640,1317,0,TCP,192.168.136.132,55728,443,72027,0,6,0,11
661,1376,58,TCP,192.168.136.132,55728,443,0,46,6,0,11
662,1376,0,TCP,34.149.100.209,443,55728,0,0,6,0,11
663,1376,0,TCP,34.149.100.209,443,55728,0,46,6,0,11
664,1376,0,TCP,192.168.136.132,55728,443,72027,0,6,0,11
677,1429,53,TCP,192.168.136.132,55728,443,0,46,6,0,11
678,1429,0,TCP,34.149.100.209,443,55728,0,0,6,0,11
679,1429,0,TCP,192.168.136.132,55728,443,71981,31,6,0,11
680,1429,0,TCP,34.149.100.209,443,55728,0,0,6,0,11
681,1429,0,TCP,192.168.136.132,55728,443,71950,0,6,0,11
682,1429,0,TCP,34.149.100.209,443,55728,0,0,6,0,11
683,1429,0,TCP,34.149.100.209,443,55728,0,0,6,0,11
684,1429,0,TCP,192.168.136.132,55728,443,71950,0,6,0,11
604,1259,0,TCP,34.160.144.191,443,52496,1,0,6,0,12
605,1259,0,TCP,192.168.136.132,52496,443,0,0,7,0,12
606,1259,0,TCP,192.168.136.132,52496,443,0,517,7,0,12
607,1259,0,TCP,34.160.144.191,443,52496,517,0,7,0,12
608,1259,0,TCP,34.160.144.191,443,52496,0,156,7,0,12
609,1259,0,TCP,192.168.136.132,52496,443,0,0,7,0,12
610,1259,0,TCP,192.168.136.132,52496,443,0,51,7,0,12
611,1259,0,TCP,34.160.144.191,443,52496,412,0,7,0,12
612,1259,0,TCP,192.168.136.132,52496,443,0,177,7,0,12
613,1259,0,TCP,34.160.144.191,443,52496,589,0,7,0,12
614,1259,0,TCP,192.168.136.132,52496,443,0,287,7,0,12
615,1259,0,TCP,34.160.144.191,443,52496,876,0,7,0,12
616,1259,0,TCP,34.160.144.191,443,52496,0,69,7,0,12
617,1259,0,TCP,192.168.136.132,52496,443,0,38,7,0,12
618,1259,0,TCP,34.160.144.191,443,52496,845,0,7,0,12
619,1259,0,TCP,34.160.144.191,443,52496,0,38,7,0,12
620,1259,0,TCP,34.160.144.191,443,52496,0,145,7,0,12
621,1259,0,TCP,192.168.136.132,52496,443,0,0,7,0,12
622,1259,0,TCP,192.168.136.132,52496,443,0,46,7,0,12
623,1259,0,TCP,34.160.144.191,443,52496,708,0,7,0,12
641,1318,58,TCP,192.168.136.132,52496,443,0,46,7,0,12
642,1318,0,TCP,34.160.144.191,443,52496,754,0,7,0,12
643,1318,0,TCP,34.160.144.191,443,52496,0,46,7,0,12
644,1318,0,TCP,192.168.136.132,52496,443,0,0,7,0,12
665,1377,58,TCP,192.168.136.132,52496,443,0,46,7,0,12
666,1377,0,TCP,34.160.144.191,443,52496,754,0,7,0,12
667,1377,0,TCP,34.160.144.191,443,52496,0,46,7,0,12
668,1377,0,TCP,192.168.136.132,52496,443,0,0,7,0,12
685,1430,53,TCP,192.168.136.132,52496,443,0,46,7,0,12
686,1430,0,TCP,34.160.144.191,443,52496,754,0,7,0,12
687,1430,0,TCP,192.168.136.132,52496,443,0,31,7,0,12
688,1430,0,TCP,34.160.144.191,443,52496,786,0,7,0,12
689,1430,0,TCP,34.160.144.191,443,52496,0,0,7,0,12
690,1430,0,TCP,192.168.136.132,52496,443,0,0,7,0,12
795,1892,0,TCP,192.168.136.131,80,50654,473,0,7,0,13
796,1892,0,TCP,192.168.136.131,80,50654,0,494,7,0,13
799,1892,0,TCP,192.168.136.131,80,50654,418,493,7,0,13
802,1894,1,TCP,192.168.136.131,80,50654,1,0,7,0,13
793,1892,0,TCP,192.168.136.1,50654,80,1,0,8,0,13
794,1892,0,TCP,192.168.136.1,50654,80,0,473,8,0,13
797,1892,0,TCP,192.168.136.1,50654,80,494,0,8,0,13
798,1892,0,TCP,192.168.136.1,50654,80,0,418,8,0,13
800,1892,0,TCP,192.168.136.1,50654,80,493,0,8,0,13
801,1894,1,TCP,192.168.136.1,50654,80,0,0,8,0,13
803,1894,0,TCP,192.168.136.1,50654,80,1,0,8,0,13
808,1897,0,TCP,192.168.136.131,80,50671,490,0,8,0,14
809,1897,0,TCP,192.168.136.131,80,50671,0,494,8,0,14
812,1899,2,TCP,192.168.136.131,80,50671,473,493,8,0,14
815,1902,3,TCP,192.168.136.131,80,50671,420,493,8,0,14
817,1907,5,TCP,192.168.136.131,80,50671,0,0,8,0,14
1265,1953,45,TCP,192.168.136.131,80,50671,0,0,8,0,14
3942,1998,45,TCP,192.168.136.131,80,50671,0,0,8,0,14
806,1897,0,TCP,192.168.136.1,50671,80,1,0,9,0,14
807,1897,0,TCP,192.168.136.1,50671,80,0,490,9,0,14
810,1897,0,TCP,192.168.136.1,50671,80,494,0,9,0,14
811,1899,2,TCP,192.168.136.1,50671,80,0,473,9,0,14
813,1899,0,TCP,192.168.136.1,50671,80,493,0,9,0,14
814,1902,3,TCP,192.168.136.1,50671,80,0,420,9,0,14
816,1903,0,TCP,192.168.136.1,50671,80,493,0,9,0,14
818,1907,4,TCP,192.168.136.1,50671,80,1,0,9,0,14
1264,1953,45,TCP,192.168.136.1,50671,80,0,1,9,0,14
3941,1998,45,TCP,192.168.136.1,50671,80,0,1,9,0,14
843,1946,0,TCP,192.168.136.131,55064,443,1,0,10,0,15
844,1946,0,TCP,192.168.136.131,55064,443,0,517,10,0,15
847,1947,0,TCP,192.168.136.131,55064,443,1412,0,10,0,15
849,1947,0,TCP,192.168.136.131,55064,443,1412,0,10,0,15
851,1947,0,TCP,192.168.136.131,55064,443,1412,0,10,0,15
853,1947,0,TCP,192.168.136.131,55064,443,279,0,10,0,15
891,1947,0,TCP,192.168.136.131,55064,443,0,64,10,0,15
893,1947,0,TCP,192.168.136.131,55064,443,0,170,10,0,15
895,1947,0,TCP,192.168.136.131,55064,443,0,234,10,0,15
898,1947,0,TCP,192.168.136.131,55064,443,586,0,10,0,15
899,1947,0,TCP,192.168.136.131,55064,443,0,31,10,0,15
914,1947,0,TCP,192.168.136.131,55064,443,31,0,10,0,15
952,1947,0,TCP,192.168.136.131,55064,443,287,0,10,0,15
954,1947,0,TCP,192.168.136.131,55064,443,1109,0,10,0,15
955,1947,0,TCP,192.168.136.131,55064,443,0,39,10,0,15
6456,2006,58,TCP,192.168.136.131,55064,443,0,39,10,0,15
6461,2006,0,TCP,192.168.136.131,55064,443,39,0,10,0,15
12388,2021,14,TCP,192.168.136.131,55064,443,0,39,10,0,15
12806,2021,0,TCP,192.168.136.131,55064,443,0,24,10,0,15
12807,2021,0,TCP,192.168.136.131,55064,443,0,0,10,0,15
12925,2021,0,TCP,192.168.136.131,55064,443,1,0,10,0,15
845,1946,0,TCP,34.117.237.239,443,55064,517,0,10,0,15
846,1947,0,TCP,34.117.237.239,443,55064,0,1412,10,0,15
848,1947,0,TCP,34.117.237.239,443,55064,0,1412,10,0,15
850,1947,0,TCP,34.117.237.239,443,55064,0,1412,10,0,15
852,1947,0,TCP,34.117.237.239,443,55064,0,279,10,0,15
892,1947,0,TCP,34.117.237.239,443,55064,64,0,10,0,15
894,1947,0,TCP,34.117.237.239,443,55064,170,0,10,0,15
896,1947,0,TCP,34.117.237.239,443,55064,234,0,10,0,15
897,1947,0,TCP,34.117.237.239,443,55064,0,586,10,0,15
900,1947,0,TCP,34.117.237.239,443,55064,31,0,10,0,15
910,1947,0,TCP,34.117.237.239,443,55064,0,31,10,0,15
951,1947,0,TCP,34.117.237.239,443,55064,0,287,10,0,15
953,1947,0,TCP,34.117.237.239,443,55064,0,1109,10,0,15
956,1947,0,TCP,34.117.237.239,443,55064,39,0,10,0,15
6458,2006,58,TCP,34.117.237.239,443,55064,39,0,10,0,15
6459,2006,0,TCP,34.117.237.239,443,55064,0,39,10,0,15
12389,2021,14,TCP,34.117.237.239,443,55064,39,0,10,0,15
12808,2021,0,TCP,34.117.237.239,443,55064,24,0,10,0,15
12809,2021,0,TCP,34.117.237.239,443,55064,1,0,10,0,15
12924,2021,0,TCP,34.117.237.239,443,55064,0,0,10,0,15
865,1947,0,TCP,192.168.136.131,60018,443,1,0,11,0,16
866,1947,0,TCP,192.168.136.131,60018,443,0,216,11,0,16
870,1947,0,TCP,192.168.136.131,60018,443,1412,0,11,0,16
871,1947,0,TCP,192.168.136.131,60018,443,1412,0,11,0,16
873,1947,0,TCP,192.168.136.131,60018,443,1578,0,11,0,16
874,1947,0,TCP,192.168.136.131,60018,443,0,93,11,0,16
884,1947,0,TCP,192.168.136.131,60018,443,364,0,11,0,16
904,1947,0,TCP,192.168.136.131,60018,443,0,177,11,0,16
905,1947,0,TCP,192.168.136.131,60018,443,0,296,11,0,16
908,1947,0,TCP,192.168.136.131,60018,443,0,38,11,0,16
913,1947,0,TCP,192.168.136.131,60018,443,38,0,11,0,16
918,1947,0,TCP,192.168.136.131,60018,443,345,0,11,0,16
919,1947,0,TCP,192.168.136.131,60018,443,1412,0,11,0,16
920,1947,0,TCP,192.168.136.131,60018,443,1412,0,11,0,16
922,1947,0,TCP,192.168.136.131,60018,443,1412,0,11,0,16
924,1947,0,TCP,192.168.136.131,60018,443,1241,0,11,0,16
926,1947,0,TCP,192.168.136.131,60018,443,46,0,11,0,16
927,1947,0,TCP,192.168.136.131,60018,443,0,46,11,0,16
