Layer,src_ip,,dst_port,sql
UDP,192.168.77.1,,,0
DNS,192.168.77.1,,,0
TCP,13.107.246.254,,51245,0
TCP,13.107.246.254,,51245,0
TCP,13.107.246.254,,51245,0
TCP,13.107.246.254,,51245,0
TCP,13.107.246.254,,51245,0
TCP,13.107.246.254,,51245,0
TCP,13.107.246.254,,51245,0
TCP,13.107.246.254,,51245,0
TCP,13.107.246.254,,51245,0
TCP,13.107.246.254,,51245,0
TCP,13.107.246.254,,51245,0
TCP,13.107.246.254,,51245,0
TCP,13.107.246.254,,51245,0
TCP,204.79.197.222,,51242,0
TCP,204.79.197.222,,51242,0
TCP,204.79.197.222,,51242,0
TCP,104.18.1.181,,50884,0
TCP,23.215.215.147,,51237,0
TCP,23.215.215.147,,51237,0
TCP,23.215.215.147,,51237,0
TCP,23.215.215.147,,51237,0
TCP,23.215.215.147,,51237,0
TCP,23.215.215.147,,51237,0
TCP,23.215.215.147,,51237,0
UDP,192.168.77.106,,,0
DNS,192.168.77.106,,,0
UDP,192.168.77.1,,,0
DNS,192.168.77.1,,,0
TCP,136.144.57.121,,51246,0
TCP,136.144.57.121,,51246,0
TCP,136.144.57.121,,51246,0
TCP,136.144.57.121,,51246,0
TCP,136.144.57.121,,51246,0
TCP,136.144.57.121,,51246,0
TCP,136.144.57.121,,51246,0
TCP,136.144.57.121,,51246,0
TCP,136.144.57.121,,51246,0
TCP,136.144.57.121,,51246,0
TCP,136.144.57.121,,51246,0
TCP,136.144.57.121,,51246,0
ARP,,,,0
ARP,,,,0
TCP,35.186.224.39,,51064,0
TCP,35.186.224.39,,51064,0
UDP,192.168.77.106,,,0
UDP,192.168.77.1,,,0
TCP,163.70.143.60,,51007,0
TCP,163.70.143.60,,51007,0
TCP,192.168.77.1,,51247,0
TCP,192.168.77.1,,51247,0
TCP,192.168.77.1,,51247,0
TCP,192.168.77.1,,51247,0
TCP,192.168.77.1,,51247,0
TCP,192.168.77.1,,51247,0
TCP,192.168.77.1,,51248,0
TCP,192.168.77.1,,51248,0
