Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,sql,stream,Time(seconds),socket_count,Label
,DNS,192.168.136.2,,,,215,0,,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,4525.0,177,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,4348.0,243,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,4105.0,38,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,4105.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,4436.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,5848.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,8672.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,10084.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,11496.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,12908.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,15732.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,18556.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,21380.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,24204.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,27028.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,29639.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,29593.0,173,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,30959.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,33783.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,36607.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,39431.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,42255.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,45079.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,47903.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,50727.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,53551.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,56375.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,59199.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,62023.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,64847.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,67671.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,70495.0,0,0,11.0,,,N
0.0,TCP,192.168.136.132,55728.0,443.0,72073.0,0,0,11.0,,,N
0.0,UDP,192.168.136.132,,,,61,0,,,,N
,DNS,192.168.136.132,,,,61,0,,,,N
0.0,UDP,192.168.136.2,,,,215,0,,,,N
,DNS,192.168.136.2,,,,215,0,,,,N
0.0,TCP,34.160.144.191,443.0,52496.0,1.0,0,0,12.0,,,N
0.0,TCP,192.168.136.132,52496.0,443.0,0.0,0,0,12.0,1259.0,8.0,N
0.0,TCP,192.168.136.132,52496.0,443.0,0.0,517,0,12.0,,,N
0.0,TCP,34.160.144.191,443.0,52496.0,517.0,0,0,12.0,,,N
0.0,TCP,34.160.144.191,443.0,52496.0,0.0,156,0,12.0,,,N
0.0,TCP,192.168.136.132,52496.0,443.0,0.0,0,0,12.0,,,N
